step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.951976,-1.958021,0.006045,3.907467,3.910325,48,50,0.0238,813,0.3684,0.2,0.0865,,85,1.1
14,pretrain,0,2,-1.951357,-1.961165,0.009809,3.906384,3.9117,41,50,0.0264,813,0.4762,0.2456,0.1581,,85,1.2
21,pretrain,0,3,-2.005379,-2.041978,0.036599,3.811794,3.902514,29,50,0.1025,813,0.5086,0.2487,0.1613,,85,1.2
28,pretrain,0,4,-2.375805,-2.607963,0.232158,3.097075,3.803359,42,50,0.1929,813,0.6294,0.3675,0.2841,,85,1.3
35,pretrain,0,5,-2.732949,-3.145235,0.412286,2.566813,3.808032,41,50,0.2662,813,0.7082,0.4994,0.4126,,85,1.3
42,pretrain,0,6,-3.077801,-3.547748,0.469947,2.157284,3.803355,41,49,0.3668,813,0.7385,0.5138,0.4735,,85,1.4
49,pretrain,0,7,-3.341697,-3.905532,0.563834,1.767736,3.782179,42,47,0.5035,813,0.7799,0.5619,0.5209,,85,1.4
56,pretrain,0,8,-3.776882,-4.208404,0.431521,1.370205,3.719073,38,47,0.5751,813,0.7932,0.6044,0.5297,,85,1.5
63,pretrain,0,9,-3.870126,-4.460687,0.59056,1.070492,3.687452,43,46,0.6495,813,0.843,0.7075,0.6626,,85,1.6
70,pretrain,0,10,-3.998631,-4.635008,0.636378,0.911426,3.697623,44,45,0.6635,813,0.8426,0.705,0.6432,,85,1.6
77,round,1,1,-3.986449,-4.710934,0.724486,0.806843,3.678518,46,44,0.7409,813,0.8703,0.7681,0.7266,13,85,183.8
84,round,1,2,-4.059861,-4.904978,0.845117,0.639675,3.696436,46,47,0.7788,813,0.8844,0.7856,0.7579,13,85,183.8
91,round,2,1,-4.29643,-4.984419,0.687989,0.541286,3.683803,44,44,0.8107,813,0.8756,0.795,0.7473,16,63,284.7
98,round,2,2,-4.190495,-4.996502,0.806006,0.429546,3.617365,41,42,0.8352,813,0.8784,0.7738,0.7365,16,63,284.8
105,round,3,1,-4.445176,-5.02233,0.577154,0.408363,3.620462,45,44,0.8647,813,0.8848,0.7881,0.751,15,85,305.0
112,round,3,2,-4.412717,-5.06272,0.650004,0.347063,3.606522,43,42,0.8576,813,0.894,0.8106,0.7774,15,85,305.1
119,round,4,1,-4.414761,-5.125916,0.711155,0.380349,3.670843,42,45,0.8627,813,0.8886,0.7969,0.7693,14,64,325.4
126,round,4,2,-4.383135,-5.114889,0.731754,0.339416,3.636203,43,44,0.8547,813,0.8912,0.81,0.7691,14,64,325.4
133,round,5,1,-4.0103,-5.098561,1.088261,0.361987,3.640365,44,45,0.8553,813,0.8978,0.8225,0.7892,17,38,426.4
140,round,5,2,-4.139327,-5.092267,0.95294,0.422894,3.676774,46,48,0.8225,813,0.8967,0.8331,0.7923,17,38,426.5
147,round,6,1,-4.003509,-5.131687,1.128177,0.428919,3.70707,48,48,0.8367,813,0.8864,0.7937,0.7634,18,82,487.0
154,round,6,2,-4.383143,-5.161341,0.778198,0.425141,3.724321,46,47,0.8606,813,0.9013,0.845,0.8085,18,82,487.1
161,round,7,1,-4.438653,-5.240603,0.80195,0.354726,3.73022,47,49,0.8591,813,0.8998,0.8169,0.7897,18,85,527.4
